station_id,name,lon,lat,address,num_bikes_available,num_bikes_disabled,last_reported,distance_to_Hamilton_downtown,FS_sum_distance,FS_POI_count,FS_avg_distance,Yelp_sum_distance,Yelp_POI_count,Yelp_avg_distance
hub_2923,Dunsmure at Sherman - ERI10,-79.8388883471489,43.24943274108067,"44 Dunsmure Road, Hamilton",5,0,2024-03-09 15:06:26,2060.0,4044.0,10.0,404.4,13812.625618233551,20.0,690.6312809116775
hub_614,Gage Park,-79.83040988445282,43.24344818701565,"190 Gage Avenue South, Hamilton",5,0,2024-03-09 15:06:26,2990.0,6258.0,10.0,625.8,,,
hub_622,McMaster Emerson,-79.91978779435158,43.258038792898375,"Main Street West, Emerson at Main, Hamilton",5,0,2024-03-09 15:06:26,4710.0,2177.0,10.0,217.7,6754.548606332552,20.0,337.7274303166276
hub_623,McMaster Arthur Bourns,-79.922358671032,43.2599690032886,"2000 College Court, McMaster University, Hamilton",5,0,2024-03-09 15:06:26,4920.0,3326.0,10.0,332.6,9069.074075951114,20.0,453.4537037975557
hub_559,Main at Dundurn,-79.8892092704773,43.25966301112219,"91 Dundurn Street South, Hamilton",5,0,2024-03-09 15:06:26,2240.0,2675.0,10.0,267.5,14375.212130817972,20.0,718.7606065408986
hub_2915,Mars at Wentworth - ERI01,-79.84364993870258,43.26534015820083,"100 Mars Avenue, Hamilton",5,0,2024-03-09 15:06:26,1680.0,5571.0,10.0,557.1,16449.69713473628,20.0,822.4848567368141
hub_538,Whitney at Lower Horning,-79.9354198942367,43.2518522355378,"377, Whitney Avenue, University Gardens, Hamilton, Ontario",5,0,2024-03-09 15:06:26,6010.0,4501.0,10.0,450.1,14496.408514161543,20.0,724.8204257080772
hub_537,Osler at Main,-79.9342255404988,43.2572539435115,"1686 Main Street West, Hamilton",5,0,2024-03-09 15:06:26,5880.0,4309.0,10.0,430.9,8985.830496388031,20.0,449.29152481940156
hub_565,York at Inchbury,-79.8819495909127,43.2659146108256,"460 York Boulevard, Hamilton",5,0,2024-03-09 15:06:26,1880.0,4584.0,10.0,458.4,15182.166591308664,20.0,759.1083295654332
hub_2922,King at Dunsmure - ERI09,-79.82685998082161,43.24634382646498,"304 Dunsmure Road, Hamilton",5,0,2024-03-09 15:06:26,3090.0,5439.0,10.0,543.9,11803.99513408978,20.0,590.199756704489
hub_2926,Westinghouse at Barton - ERI13,-79.84240606427193,43.25831920066756,"9 Westinghouse Avenue, Hamilton",5,0,2024-03-09 15:06:26,1560.0,4023.0,10.0,402.3,14097.000782203379,20.0,704.850039110169
hub_560,King at Dundurn,-79.88798081874847,43.26240933566922,"9-11 Dundurn Street North, Hamilton",5,0,2024-03-09 15:06:26,2190.0,3017.0,10.0,301.7,14020.525652483553,20.0,701.0262826241776
hub_590,Ferguson at Cannon,-79.8598228455297,43.2587508364231,"156, Cannon Street East, Beasley, Hamilton, Ontario",5,0,2024-03-09 15:06:26,180.0,3843.0,10.0,384.3,13089.332958181574,20.0,654.4666479090787
hub_535,Osler at Grant,-79.9426434441838,43.2595496051254,"89-101 Osler Drive, Hamilton",5,0,2024-03-09 15:06:26,6560.0,1759.0,10.0,175.9,13666.76954363003,20.0,683.3384771815015
hub_5402,Pearl Street Bridge,-79.88345324993132,43.25650634283747,"107 Pearl Street South, Hamilton",5,0,2024-03-09 15:06:26,1770.0,5156.0,10.0,515.6,9361.725309065876,20.0,468.0862654532938
hub_5426,Hill Street Park,-79.88822355870525,43.25672417073905,"22 Hill Street, Hamilton",5,0,2024-03-09 15:06:26,2150.0,6111.0,10.0,611.1,10229.791140529074,20.0,511.4895570264537
hub_5790,Beasley Park,-79.86106485128403,43.25891916811838,"55 Elgin Street, Hamilton",5,0,2024-03-09 15:06:26,140.0,4361.0,10.0,436.1,11899.940023368028,20.0,594.9970011684014
hub_585,Eastwood Arena,-79.856711442486,43.271621271914,"111, Burlington Street East, North End, Hamilton, Ontario",5,0,2024-03-09 15:06:26,1590.0,5077.0,10.0,507.7,17814.30273694306,20.0,890.715136847153
hub_582,Hughson at Picton,-79.861626657542,43.2701169222876,"448, Hughson Street North, North End, Hamilton, Ontario",5,0,2024-03-09 15:06:26,1370.0,3753.0,10.0,375.3,14069.361493977465,20.0,703.4680746988732
hub_5836,King at Barnesdale,-79.83547054231167,43.25124627968789,"976 King Street East, Hamilton",5,0,2024-03-09 15:06:26,2240.0,3037.0,10.0,303.7,11296.987632082284,20.0,564.8493816041142
hub_626,McMaster Stadium,-79.91868138313293,43.26462232214244,"Stearn Drive, McMaster University, Hamilton",5,0,2024-03-09 15:06:26,4680.0,2304.0,10.0,230.4,14885.804606983838,20.0,744.2902303491919
hub_577,Bay at Mulberry,-79.87180307507515,43.26319844157448,"177, Bay Street North, Hess Village, Hamilton, Ontario",5,0,2024-03-09 15:06:26,1020.0,4680.0,10.0,468.0,11758.383651645216,20.0,587.9191825822608
hub_779,Hunter at Park,-79.8733946157064,43.2543192007999,"61 Hurst Place, Hamilton",4,0,2024-03-09 15:06:26,1020.0,4322.0,10.0,432.2,13389.959806147252,20.0,669.4979903073626
hub_555,McMaster Innovation Park,-79.9011692404747,43.25656885270854,"175 Longwood Road South, Hamilton",4,0,2024-03-09 15:06:26,3200.0,4829.0,10.0,482.9,14225.25631723555,20.0,711.2628158617774
hub_867,Queen at George,-79.8793575167656,43.25812181171754,"34-54 Queen Street South, Hamilton",4,0,2024-03-09 15:06:26,1430.0,2156.0,10.0,215.6,9883.357201283077,20.0,494.16786006415384
hub_2920,Ottawa at Dunsmure - ERI07,-79.81923043727875,43.2444465978823,"463 Dunsmure Road, Hamilton",4,0,2024-03-09 15:06:26,3740.0,3889.0,10.0,388.9,8125.257986502353,20.0,406.26289932511764
hub_903,Duke at James,-79.87135380506516,43.25163037518954,"180 James Street South, Hamilton",4,0,2024-03-09 15:06:26,1040.0,3330.0,10.0,333.0,7991.216019121885,20.0,399.5608009560943
hub_960,Pier 4,-79.86689731478691,43.27260051521549,"50 Leander Drive, Hamilton",4,0,2024-03-09 15:06:26,1700.0,4492.0,10.0,449.2,13760.043191042118,20.0,688.0021595521059
hub_1063,Main and Wellington,-79.86008584499359,43.25281814686537,"250 Main Street East, Hamilton",4,0,2024-03-09 15:06:26,570.0,2635.0,10.0,263.5,12957.584128860122,20.0,647.8792064430061
hub_1252,Cumberland at Blake ,-79.84050840139389,43.24333095563425,"237-243 Cumberland Avenue, Hamilton",4,0,2024-03-09 15:06:26,2350.0,6928.0,10.0,692.8,17358.019862272944,20.0,867.9009931136472
hub_1253,Main at Eastbourne,-79.84201848506926,43.24814116192469,"700 Main Street East, Hamilton",4,0,2024-03-09 15:06:26,1920.0,5249.0,10.0,524.9,15158.011149334354,20.0,757.9005574667177
hub_1287,Cannon at Ottawa,-79.8180502653122,43.2475653052787,"1182-1188 Cannon Street East, Hamilton",4,0,2024-03-09 15:06:26,3710.0,4269.0,10.0,426.9,4976.229904502953,20.0,248.81149522514767
hub_5827,John near King,-79.86623145639896,43.25652795268133,"16 John Street North, Hamilton",4,0,2024-03-09 15:06:26,400.0,3199.0,10.0,319.9,3906.4559158126604,20.0,195.32279579063302
hub_5837,King at Sherman,-79.83823858201504,43.2513467527978,"924, King Street East, Hamilton, Ontario",4,0,2024-03-09 15:06:26,2029.9999999999998,7065.0,10.0,706.5,13999.529709277325,20.0,699.9764854638663
